run,hc_fitness
1,1.3674674007534047
2,0.9845638945233268
3,1.0957360185453493
4,1.2971515502752824
5,1.3449768183135324
6,1.0602781802376122
7,1.0267067516661839
8,1.2515010141987828
9,1.3764053897421036
10,1.2592118226600986
11,1.2873848159953636
12,1.2938046942915098
13,0.9845638945233268
14,1.2552100840336133
15,1.3087539843523617
16,1.4040654882642714
17,1.281583598956824
18,1.0560707041437265
19,1.2648391770501304
20,1.296331498116488
21,1.2127281947261666
22,1.2618994494349465
23,0.9845638945233268
24,0.9845638945233268
25,1.2620964937699217
26,1.1440423065778036
27,1.280383946682121
28,1.1548710518690237
29,1.2950362213851057
30,1.4306592292089249
