generation,run,fitness,strategy
0,0,1.2950956244566791,Normal
1,0,1.3266980585337582,Normal
2,0,1.3377875977977396,Normal
3,0,1.3377875977977396,Normal
4,0,1.374894233555491,Normal
5,0,1.3788409156766155,Normal
6,0,1.3869820341929873,Normal
7,0,1.4463228049840624,Normal
8,0,1.4463228049840624,Normal
9,0,1.4463228049840624,Normal
10,0,1.4556085192697767,Normal
11,0,1.4556085192697767,Normal
12,0,1.4556085192697767,Normal
13,0,1.4556085192697767,Normal
14,0,1.4812909301651693,Normal
15,0,1.4812909301651693,Normal
16,0,1.4851782092147203,Normal
17,0,1.4930034772529701,Normal
18,0,1.4930034772529701,Normal
19,0,1.5167444219066937,Normal
20,0,1.5194320486815416,Normal
21,0,1.5194320486815416,Normal
22,0,1.5224587076209795,Normal
23,0,1.5224587076209795,Normal
24,0,1.5453158504781221,Normal
25,0,1.5453158504781221,Normal
26,0,1.5453158504781221,Normal
27,0,1.5453158504781221,Normal
28,0,1.5453158504781221,Normal
29,0,1.553887279049551,Normal
30,0,1.553887279049551,Normal
31,0,1.5574587076209794,Normal
32,0,1.5574587076209794,Normal
33,0,1.5853158504781222,Normal
34,0,1.5910301361924077,Normal
35,0,1.5910301361924077,Normal
36,0,1.5910301361924077,Normal
37,0,1.603172993335265,Normal
38,0,1.6088872790495508,Normal
39,0,1.6088872790495508,Normal
40,0,1.6088872790495508,Normal
41,0,1.6088872790495508,Normal
42,0,1.6088872790495508,Normal
43,0,1.6088872790495508,Normal
44,0,1.6088872790495508,Normal
45,0,1.6088872790495508,Normal
46,0,1.6088872790495508,Normal
47,0,1.6088872790495508,Normal
48,0,1.6088872790495508,Normal
49,0,1.6088872790495508,Normal
50,0,1.6088872790495508,Normal
51,0,1.6088872790495508,Normal
52,0,1.6088872790495508,Normal
53,0,1.6088872790495508,Normal
54,0,1.6088872790495508,Normal
55,0,1.6088872790495508,Normal
56,0,1.6088872790495508,Normal
57,0,1.6088872790495508,Normal
58,0,1.6088872790495508,Normal
59,0,1.6088872790495508,Normal
60,0,1.6088872790495508,Normal
61,0,1.6088872790495508,Normal
62,0,1.6088872790495508,Normal
63,0,1.6088872790495508,Normal
64,0,1.6088872790495508,Normal
65,0,1.6088872790495508,Normal
66,0,1.6088872790495508,Normal
67,0,1.6088872790495508,Normal
68,0,1.6088872790495508,Normal
69,0,1.6088872790495508,Normal
70,0,1.6088872790495508,Normal
71,0,1.6174587076209792,Normal
72,0,1.6360301361924077,Normal
73,0,1.6360301361924077,Normal
74,0,1.6360301361924077,Normal
75,0,1.6360301361924077,Normal
